"simulation"	"beta"	"n"	"ebic"	"lasso_ebic"	"bms"	"pp"
"Large beta"	0	200	0.000644329896907216	0.00461340206185567	0.000335051546391753	0.00475560018612923
"Large beta"	0.5	200	0.865	0.545	0.825	0.823093325093231
"Large beta"	0.6	200	0.935	0.605	0.905	0.867999215393508
"Large beta"	0.7	200	0.99	0.93	0.905	0.973717658455792
"Large beta"	0.8	200	0.99	0.99	0.905	0.988800075721625
"Large beta"	0.9	200	1	1	0.915	0.997124630721943
"Large beta"	1	200	1	1	0.915	0.999999522756047
"Small beta"	0	200	0.00623711340206186	0.00592783505154639	0.00201030927835052	0.00896954059723553
"Small beta"	0.166666666666667	200	0.05	0.02	0.04	0.0384471020532323
"Small beta"	0.2	200	0.08	0.07	0.04	0.0611479593843337
"Small beta"	0.233333333333333	200	0.17	0.11	0.12	0.129019924724716
"Small beta"	0.266666666666667	200	0.31	0.37	0.19	0.288504163009098
"Small beta"	0.3	200	0.28	0.43	0.2	0.249136458653582
"Small beta"	0.333333333333333	200	0.64	0.59	0.32	0.540090680716072
